corpus,drama,figure_surface,figure_id,Gender,Age
test,rksp.0,DER PRINZ,der_prinz,MALE,
test,rksp.0,DER KAMMERDIENER,der_kammerdiener,MALE,
test,rksp.0,CONTI,conti,MALE,
test,rksp.0,MARINELLI,marinelli,MALE,
test,rksp.0,CAMILLO ROTA,camillo_rota,MALE,
test,rksp.0,PIRRO,pirro,MALE,
test,rksp.0,ANGELO,angelo,MALE,
test,rksp.0,CLAUDIA,claudia_galotti,FEMALE,
test,rksp.0,EMILIA,emilia,FEMALE,
test,rksp.0,APPIANI,appiani,MALE,
test,rksp.0,BATTISTA,battista,MALE,
test,rksp.0,ORSINA,orsina,FEMALE,
test,rksp.0,ODOARDO GALOTTI,odoardo,MALE,
