corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
test,rjmw.0,437,28146,0,451,3480,0
test,rjmw.0,437,28146,0,3493,5697,0
test,rjmw.0,437,28146,0,5712,8852,0
test,rjmw.0,437,28146,0,8865,10031,0
test,rjmw.0,437,28146,0,10045,11591,0
test,rjmw.0,437,28146,0,11604,12004,0
test,rjmw.0,437,28146,0,12017,24790,0
test,rjmw.0,437,28146,0,24803,25726,0
test,rjmw.0,437,28146,0,25739,28146,0
test,rjmw.0,28162,61308,0,28176,31448,0
test,rjmw.0,28162,61308,0,31462,32268,0
test,rjmw.0,28162,61308,0,32281,43498,0
test,rjmw.0,28162,61308,0,43512,49178,0
test,rjmw.0,28162,61308,0,49193,51242,0
test,rjmw.0,28162,61308,0,51255,53135,0
test,rjmw.0,28162,61308,0,53149,58265,0
test,rjmw.0,28162,61308,0,58279,61308,0
test,rjmw.0,61324,96470,0,61338,64965,0
test,rjmw.0,61324,96470,0,64980,67909,0
test,rjmw.0,61324,96470,0,67922,83610,0
test,rjmw.0,61324,96470,0,83624,84937,0
test,rjmw.0,61324,96470,0,84951,92422,0
test,rjmw.0,61324,96470,0,92436,93871,0
test,rjmw.0,61324,96470,0,93885,96470,0
test,rjmw.0,96486,141018,0,96500,102219,0
test,rjmw.0,96486,141018,0,102234,104212,0
test,rjmw.0,96486,141018,0,104226,110201,0
test,rjmw.0,96486,141018,0,110215,115286,0
test,rjmw.0,96486,141018,0,115299,116793,0
test,rjmw.0,96486,141018,0,116806,118424,0
test,rjmw.0,96486,141018,0,118437,120155,0
test,rjmw.0,96486,141018,0,120168,139128,0
test,rjmw.0,96486,141018,0,139143,141018,0
test,rjmw.0,141034,170851,0,141048,143728,0
test,rjmw.0,141034,170851,0,143741,144675,0
test,rjmw.0,141034,170851,0,144688,145920,0
test,rjmw.0,141034,170851,0,145935,151044,0
test,rjmw.0,141034,170851,0,151057,154487,0
test,rjmw.0,141034,170851,0,154500,155262,0
test,rjmw.0,141034,170851,0,155276,157000,0
test,rjmw.0,141034,170851,0,157014,158696,0
test,rjmw.0,141034,170851,0,158710,162297,0
test,rjmw.0,141034,170851,0,162310,170373,0
test,rjmw.0,141034,170851,0,170386,170851,0
